date,revenue,transaction_count,revenue_per_transaction,dayofweek,is_weekend,dayofweek_sin,dayofweek_cos,day,day_sin,day_cos,dayofyear,dayofyear_sin,dayofyear_cos,week,week_sin,week_cos,month,month_sin,month_cos,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,days_in_month,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_lag_7,revenue_lag_14,revenue_lag_21,revenue_lag_28,revenue_rolling_mean_3,revenue_rolling_std_3,revenue_rolling_min_3,revenue_rolling_max_3,revenue_rolling_median_3,revenue_rolling_range_3,revenue_rolling_mean_7,revenue_rolling_std_7,revenue_rolling_min_7,revenue_rolling_max_7,revenue_rolling_median_7,revenue_rolling_range_7,revenue_rolling_mean_14,revenue_rolling_std_14,revenue_rolling_min_14,revenue_rolling_max_14,revenue_rolling_median_14,revenue_rolling_range_14,revenue_rolling_mean_28,revenue_rolling_std_28,revenue_rolling_min_28,revenue_rolling_max_28,revenue_rolling_median_28,revenue_rolling_range_28,revenue_expanding_mean,revenue_expanding_std,revenue_expanding_min,revenue_expanding_max,revenue_change_1d,revenue_change_7d,revenue_pct_change_1d,revenue_pct_change_7d,revenue_momentum_3d,revenue_momentum_7d,revenue_rsi_7,revenue_rsi_14,revenue_distance_from_ma_7,revenue_distance_from_ma_14,revenue_distance_from_ma_28,revenue_cv_7,revenue_cv_14,revenue_lag_7_x_weekend,rolling_mean_7_x_dayofweek,rolling_mean_28_x_month
2023-01-01,2508.2,550,4.560363636363636,6,1,-0.7818314824680299,0.6234898018587334,1,0.20129852008866006,0.9795299412524945,1,0.017213356155834685,0.9998518392091162,52,6.432490598706546e-16,1.0,1,0.49999999999999994,0.8660254037844387,1,1,0,1,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,2403.35,566,4.246201413427562,0,0,0.0,1.0,2,0.39435585511331855,0.9189578116202306,2,0.03442161162274574,0.9994074007397048,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2508.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508.2,,2508.2,2508.2,-104.84999999999991,,-0.041802886532174455,,,,,,,,,,,,,
2023-01-03,2565.0,582,4.407216494845361,1,0,0.7818314824680298,0.6234898018587336,3,0.5712682150947923,0.8207634412072763,3,0.051619667223253764,0.998666816288476,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2403.35,2508.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.7749999999996,74.14014600740929,2403.35,2508.2,161.6500000000001,,0.06726028252231275,,,,,,,,,,,,,
2023-01-04,2220.1,497,4.4670020120724345,2,0,0.9749279121818236,-0.22252093395631434,4,0.7247927872291199,0.6889669190756866,4,0.06880242680231986,0.9976303053065857,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2565.0,2403.35,2508.2,,,,,2492.183333333333,82.00659018233443,2403.35,2565.0,2508.2,161.6500000000001,,,,,,,,,,,,,,,,,,,2492.183333333333,82.00659018233443,2403.35,2565.0,-344.9000000000001,,-0.1344639376218324,,,,,,,,,,,,,
2023-01-05,2418.85,547,4.422029250457038,3,0,0.43388373911755823,-0.900968867902419,5,0.8486442574947509,0.5289640103269624,5,0.08596479873744647,0.9962981749346078,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2220.1,2565.0,2403.35,,,,,2396.15,172.56269150659398,2220.1,2565.0,2403.35,344.9000000000001,,,,,,,,,,,,,,,,,,,2424.1625,151.62691809723833,2220.1,2565.0,198.75,,0.08952299445970913,,-288.0999999999999,,,,,,,,,,,
2023-01-06,2273.85,509,4.467288801571709,4,0,-0.433883739117558,-0.9009688679024191,6,0.9377521321470804,0.3473052528448203,6,0.10310169744743485,0.9946708199115211,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2418.85,2220.1,2565.0,,,,,2401.316666666667,173.11720259215508,2220.1,2565.0,2418.85,344.9000000000001,,,,,,,,,,,,,,,,,,,2423.1,131.33425390963305,2220.1,2565.0,-145.0,,-0.059945842032370744,,15.5,,,,,,,,,,,
2023-01-07,2619.65,562,4.661298932384342,5,1,-0.9749279121818236,-0.2225209339563146,7,0.9884683243281114,0.1514277775045767,7,0.1202080448993527,0.9927487224577402,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2273.85,2418.85,2220.1,,,,,2304.266666666667,102.8069590705471,2220.1,2418.85,2273.85,198.75,,,,,,,,,,,,,,,,,,,2398.225,132.33118585579118,2220.1,2565.0,345.8000000000002,,0.1520768740242322,,-291.1500000000001,,,,,,,,,,,
2023-01-08,2638.53,562,4.694893238434164,6,1,-0.7818314824680299,0.6234898018587334,8,0.9987165071710528,-0.05064916883871264,8,0.13727877211326478,0.9905324521322229,1,0.12053668025532305,0.992708874098054,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2619.65,2273.85,2418.85,2508.2,,,,2437.4500000000003,173.6487258807272,2273.85,2619.65,2418.85,345.8000000000002,2429.8571428571427,146.95951661532342,2220.1,2619.65,2418.85,399.5500000000002,,,,,,,,,,,,,2429.8571428571427,146.95951661532342,2220.1,2619.65,18.88000000000011,130.33000000000038,0.007207069646708586,0.05196156606331259,399.5500000000002,,54.283408278565666,,0.07810864836263168,,,0.06048072292946464,,2508.2,14579.142857142855,
2023-01-09,2676.61,551,4.857731397459165,0,0,0.0,1.0,9,0.9680771188662043,-0.2506525322587204,9,0.15430882066428117,0.9880226656636976,2,0.23931566428755774,0.970941817426052,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2638.53,2619.65,2273.85,2403.35,,,,2510.6766666666667,205.31504117656186,2273.85,2638.53,2619.65,364.6800000000003,2448.475714285714,165.61139089820523,2220.1,2638.53,2418.85,418.4300000000003,,,,,,,,,,,,,2455.94125,154.7735273079902,2220.1,2638.53,38.07999999999993,273.2600000000002,0.014432278579360469,0.11369962760313745,219.6800000000003,130.33000000000038,54.93737829872031,,0.07762147061757986,,,0.0676385679187831,,0.0,0.0,
2023-01-10,2685.65,602,4.461212624584718,1,0,0.7818314824680298,0.6234898018587336,10,0.8978045395707416,-0.4403941515576344,10,0.1712931441814776,0.9852201067560606,2,0.23931566428755774,0.970941817426052,1,0.49999999999999994,0.8660254037844387,1,0,0,0,0,31,2676.61,2638.53,2619.65,2565.0,,,,2644.9300000000003,29.014313708924742,2619.65,2676.61,2638.53,56.960000000000036,2487.5128571428572,184.3476920309635,2220.1,2676.61,2565.0,456.5100000000002,,,,,,,,,,,,,2480.46,162.39153634041423,2220.1,2676.61,9.039999999999964,120.65000000000009,0.0033774064955298666,0.04703703703703699,402.7600000000002,273.2600000000002,60.9037077234929,,0.07601855898519407,,,0.07410924188858431,,0.0,2487.5128571428572,
