date,revenue
2019-01-02,112.41499999999999
2019-01-03,74.97
2019-01-06,28.439999999999998
2019-01-09,111.78
2019-01-10,96.155
2019-01-11,68.655
2019-01-18,51.99
2019-01-19,40.5
2019-01-20,95.51999999999998
2019-01-22,95.1
2019-01-26,53.46
2019-02-04,8.91
2019-02-05,59.22
2019-02-06,26.849999999999998
2019-02-09,23.775
2019-02-10,119.13999999999999
2019-02-11,5.369999999999999
2019-02-12,25.9
2019-02-13,77.69999999999999
2019-02-14,55.0
2019-02-16,59.56999999999999
2019-02-19,5.97
2019-02-20,156.15499999999997
2019-02-21,112.94999999999999
2019-02-22,41.169999999999995
2019-02-24,7.77
2019-02-25,82.815
2019-02-28,119.13999999999999
2019-03-02,140.745
2019-03-03,133.85999999999999
2019-03-04,7.29
2019-03-08,8.055
2019-03-10,38.04
2019-03-11,47.55
2019-03-12,23.31
2019-03-14,98.975
2019-03-15,185.58
2019-03-16,54.58
2019-03-17,59.56999999999999
2019-03-20,91.55499999999999
2019-03-21,52.38
2019-03-22,12.15
2019-03-30,67.5
2019-04-01,34.26
2019-04-05,195.74999999999997
2019-04-07,53.1
2019-04-08,65.16
2019-04-11,8.73
2019-04-12,19.424999999999997
2019-04-14,17.91
2019-04-16,182.27499999999998
2019-04-17,38.849999999999994
2019-04-18,45.36
2019-04-22,133.85999999999999
2019-04-24,109.5
2019-04-25,28.53
2019-04-27,548.0199999999999
2019-04-29,63.4
2019-04-30,136.61999999999998
2019-05-01,53.46
2019-05-02,8.055
2019-05-06,8.73
2019-05-07,23.88
2019-05-09,7.29
2019-05-12,35.82
2019-05-14,29.784999999999997
2019-05-15,145.82
2019-05-17,16.11
2019-05-18,22.275
2019-05-21,13.095
2019-05-22,8.055
2019-05-23,26.19
2019-06-03,16.11
2019-06-04,38.04
2019-06-08,184.325
2019-06-09,29.849999999999998
2019-06-12,8.73
2019-06-13,100.26499999999999
2019-06-14,10.935
2019-06-16,89.35499999999999
2019-06-17,2.6849999999999996
2019-06-19,20.625
2019-06-22,34.92
2019-06-23,5.369999999999999
2019-06-24,313.37499999999994
2019-06-25,204.92999999999995
2019-06-26,26.849999999999994
2019-06-27,137.42499999999998
2019-06-28,7.77
2019-06-30,153.11999999999998
2019-07-01,114.42499999999998
2019-07-02,27.5
2019-07-03,81.605
2019-07-06,12.15
2019-07-08,95.1
2019-07-09,7.29
2019-07-14,8.955
2019-07-15,7.77
2019-07-18,224.80499999999998
2019-07-20,13.75
2019-07-21,75.24
2019-07-23,28.53
2019-07-25,252.47999999999996
2019-07-26,8.95
2019-07-30,27.674999999999997
2019-07-31,17.91
2019-08-03,25.9
2019-08-06,47.80499999999999
2019-08-07,146.27999999999997
2019-08-11,17.91
2019-08-12,17.91
2019-08-13,43.019999999999996
2019-08-15,32.22
2019-08-16,88.18
2019-08-17,87.30000000000001
2019-08-20,13.424999999999997
2019-08-26,148.92499999999998
2019-08-30,29.7
2019-08-31,7.77
2019-09-02,79.25
2019-09-04,23.88
2019-09-05,67.12
2019-09-06,212.60999999999999
2019-09-07,100.39499999999998
2019-09-08,178.70999999999998
2019-09-11,126.07
2019-09-12,44.03
2019-09-13,100.39499999999998
2019-09-16,29.849999999999998
2019-09-17,21.89
2019-09-18,137.31
2019-09-20,45.769999999999996
2019-09-21,8.25
2019-09-22,27.5
2019-09-28,19.02
2019-09-29,54.96999999999999
2019-10-01,68.30999999999999
2019-10-03,33.75
2019-10-04,59.75
2019-10-05,39.8
2019-10-08,70.72
2019-10-09,23.9
2019-10-11,27.0
2019-10-12,22.884999999999998
2019-10-13,56.669999999999995
2019-10-16,2.985
2019-10-17,13.5
2019-10-19,77.69999999999999
2019-10-21,81.25999999999999
2019-10-22,21.87
2019-10-23,23.79
2019-10-24,6.75
2019-10-25,109.365
2019-10-26,93.16499999999999
2019-10-28,51.8
2019-11-03,13.424999999999997
2019-11-06,31.7
2019-11-07,63.24999999999999
2019-11-09,145.82
2019-11-12,84.375
2019-11-13,16.11
2019-11-14,9.51
2019-11-15,66.92999999999999
2019-11-16,29.849999999999998
2019-11-21,86.63999999999999
2019-11-26,59.699999999999996
2019-11-27,21.825000000000003
2019-11-28,178.70999999999998
2019-11-29,15.54
2019-12-03,88.45499999999998
2019-12-04,215.68499999999995
2019-12-05,13.5
2019-12-08,67.5
2019-12-09,22.5
2019-12-12,7.77
2019-12-13,10.754999999999999
2019-12-14,248.57999999999996
2019-12-15,20.584999999999997
2019-12-16,109.93999999999998
2019-12-17,163.97999999999996
2019-12-21,47.8
2019-12-27,34.154999999999994
2019-12-28,8.25
2019-12-29,3.885
2019-12-30,97.56
2019-12-31,28.884999999999998
2020-01-01,20.25
2020-01-06,206.37499999999997
2020-01-07,33.0
2020-01-10,45.644999999999996
2020-01-11,9.51
2020-01-15,33.464999999999996
2020-01-16,17.46
2020-01-17,19.02
2020-01-19,59.75
2020-01-21,17.91
2020-01-25,3.5849999999999995
2020-01-26,10.739999999999998
2020-01-27,47.39
2020-01-30,27.0
2020-01-31,15.85
2020-02-03,26.19
2020-02-04,22.275
2020-02-05,168.39
2020-02-06,82.45499999999998
2020-02-07,174.02499999999998
2020-02-08,21.509999999999998
2020-02-09,119.13999999999999
2020-02-11,32.7
2020-02-12,89.35499999999999
2020-02-13,43.74
2020-02-15,155.24999999999997
2020-02-18,140.29500000000002
2020-02-19,24.36
2020-02-20,59.4
2020-02-22,63.644999999999996
2020-02-23,16.11
2020-02-24,28.53
2020-02-26,129.37499999999997
2020-02-27,27.945
2020-02-28,355.74
2020-02-29,17.91
2020-03-01,148.92499999999998
2020-03-02,63.4
2020-03-06,13.5
2020-03-07,56.58
2020-03-10,41.925
2020-03-11,23.31
2020-03-12,10.739999999999998
2020-03-13,27.945
2020-03-15,17.46
2020-03-18,17.91
2020-03-20,52.125
2020-03-22,137.31
2020-03-23,59.129999999999995
2020-03-25,36.45
2020-03-26,43.650000000000006
2020-03-28,36.45
2020-03-29,72.9
2020-03-30,40.5
2020-03-31,14.58
2020-04-05,53.46
2020-04-07,60.464999999999996
2020-04-11,40.8
2020-04-12,82.33999999999999
2020-04-19,43.650000000000006
2020-04-20,51.989999999999995
2020-04-23,29.849999999999998
2020-04-25,114.42499999999998
2020-04-29,71.30499999999999
2020-04-30,213.52499999999998
2020-05-03,38.699999999999996
2020-05-04,243.79999999999998
2020-05-05,101.92499999999998
2020-05-09,97.85999999999999
2020-05-11,26.19
2020-05-14,44.55
2020-05-19,15.54
2020-05-20,103.53999999999999
2020-05-22,41.169999999999995
2020-05-26,17.91
2020-05-31,208.17000000000002
2020-06-02,36.45
2020-06-03,103.57499999999999
2020-06-05,240.46499999999997
2020-06-07,142.02499999999998
2020-06-09,82.5
2020-06-10,109.93999999999998
2020-06-11,155.24999999999997
2020-06-13,59.4
2020-06-20,13.365
2020-06-21,8.055
2020-06-24,150.60999999999999
2020-06-26,4.755
2020-06-28,87.02499999999999
2020-06-29,159.52499999999998
2020-06-30,85.5
2020-07-02,49.535
2020-07-03,95.1
2020-07-04,82.33999999999999
2020-07-05,77.01999999999998
2020-07-07,9.95
2020-07-11,41.25
2020-07-12,71.15
2020-07-13,88.97
2020-07-14,82.94
2020-07-15,82.5
2020-07-16,148.92499999999998
2020-07-18,36.455
2020-07-19,91.07
2020-07-24,10.739999999999998
2020-07-25,44.55
2020-07-26,13.424999999999997
2020-07-29,27.0
2020-07-30,17.91
2020-07-31,238.11499999999998
2020-08-03,11.94
2020-08-06,35.64
2020-08-08,12.95
2020-08-11,83.39999999999999
2020-08-14,72.25
2020-08-15,47.13999999999999
2020-08-23,22.5
2020-08-31,14.58
2020-09-02,6.75
2020-09-06,9.51
2020-09-08,45.769999999999996
2020-09-09,145.31
2020-09-10,101.25999999999999
2020-09-11,160.29
2020-09-15,35.849999999999994
2020-09-16,59.129999999999995
2020-09-18,31.459999999999997
2020-09-19,72.9
2020-09-23,5.97
2020-09-27,23.31
2020-09-28,15.54
2020-10-01,6.75
2020-10-02,68.655
2020-10-04,94.76999999999998
2020-10-05,59.4
2020-10-10,293.19
2020-10-11,33.75
2020-10-13,55.0
2020-10-14,82.5
2020-10-15,12.375
2020-10-16,132.23
2020-10-20,49.75
2020-10-21,38.04
2020-10-22,29.784999999999997
2020-10-23,83.83500000000001
2020-10-24,12.375
2020-10-25,29.784999999999997
2020-10-26,11.655
2020-10-27,99.13499999999999
2020-10-28,202.47499999999997
2020-10-29,71.7
2020-10-30,47.55
2020-11-02,103.49999999999999
2020-11-03,109.365
2020-11-04,13.095
2020-11-05,38.849999999999994
2020-11-06,22.884999999999998
2020-11-07,148.92499999999998
2020-11-09,26.849999999999994
2020-11-12,26.19
2020-11-13,119.13999999999999
2020-11-15,79.25
2020-11-18,155.24999999999997
2020-11-20,21.87
2020-11-21,139.265
2020-11-23,45.769999999999996
2020-11-24,49.75
2020-11-30,8.91
2020-12-02,24.75
2020-12-03,47.55
2020-12-04,49.365
2020-12-05,20.25
2020-12-06,14.925
2020-12-07,45.769999999999996
2020-12-08,31.624999999999996
2020-12-09,35.64
2020-12-11,23.31
2020-12-16,29.924999999999997
2020-12-17,52.47
2020-12-18,107.00999999999999
2020-12-19,25.9
2020-12-24,44.55
2020-12-25,44.55
2020-12-29,139.725
2020-12-31,14.58
2021-01-04,45.33
2021-01-07,71.42999999999999
2021-01-10,43.650000000000006
2021-01-11,87.58500000000001
2021-01-13,23.28
2021-01-14,106.02
2021-01-15,22.5
2021-01-17,29.784999999999997
2021-01-18,31.624999999999996
2021-01-19,36.45
2021-01-21,67.8
2021-01-22,91.53999999999999
2021-01-26,15.54
2021-01-27,3.5849999999999995
2021-01-28,89.77499999999999
2021-01-29,15.54
2021-01-31,56.25
2021-02-02,28.53
2021-02-03,103.49999999999999
2021-02-05,56.669999999999995
2021-02-06,8.73
2021-02-07,94.94999999999999
2021-02-08,8.055
2021-02-11,48.6
2021-02-12,66.92999999999999
2021-02-13,16.11
2021-02-14,7.77
2021-02-17,8.955
2021-02-18,14.58
2021-02-19,2.6849999999999996
2021-02-20,169.575
2021-02-22,23.31
2021-02-23,22.275
2021-02-25,114.42499999999998
2021-02-26,90.27000000000001
2021-02-28,72.91
2021-03-01,7.29
2021-03-03,98.61
2021-03-04,33.4
2021-03-07,21.509999999999998
2021-03-08,158.94
2021-03-09,29.849999999999998
2021-03-10,93.40499999999999
2021-03-12,97.12499999999999
2021-03-13,23.88
2021-03-15,35.75999999999999
2021-03-16,199.25
2021-03-19,86.42999999999999
2021-03-20,29.849999999999998
2021-03-21,109.365
2021-03-22,5.97
2021-03-23,20.625
2021-03-24,8.25
2021-03-26,178.70999999999998
2021-03-27,96.03000000000002
2021-03-28,119.01
2021-03-29,68.07
2021-03-31,23.31
2021-04-03,57.65
2021-04-04,17.91
2021-04-05,95.25
2021-04-06,7.77
2021-04-08,68.31
2021-04-09,9.51
2021-04-10,63.24999999999999
2021-04-12,23.88
2021-04-14,182.27499999999998
2021-04-16,82.33999999999999
2021-04-19,126.15
2021-04-26,52.56
2021-04-30,218.73
2021-05-01,62.22
2021-05-02,164.90999999999997
2021-05-05,11.94
2021-05-07,27.484999999999996
2021-05-08,21.87
2021-05-14,24.555
2021-05-15,3.885
2021-05-16,77.74
2021-05-17,5.97
2021-05-19,103.49999999999999
2021-05-20,5.369999999999999
2021-05-21,14.339999999999998
2021-05-23,281.675
2021-05-24,12.95
2021-05-28,23.31
2021-05-30,33.75
2021-05-31,32.22
2021-06-01,74.66999999999999
2021-06-04,39.8
2021-06-06,12.375
2021-06-08,5.97
2021-06-11,129.005
2021-06-13,68.75
2021-06-15,44.71
2021-06-17,161.87499999999997
2021-06-20,80.38499999999999
